wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;42.91558265686035
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;49.8652458190918
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;58.06159973144531
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;42.88959503173828
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;62.0427131652832
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;41.88680648803711
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;42.88482666015625
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;45.911550521850586
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;40.89045524597168
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;41.921138763427734
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;52.52861976623535
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;41.92852973937988
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;44.40617561340332
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;50.46963691711426
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;41.9003963470459
wartosc mediana;10,5;ilosc instancji;10000;czas wykonania;41.39351844787598
wartosc srednia arytmetyczna;-29,365;ilosc instancji;1000;czas wykonania;0,9965896606445312
wartosc min;-999,0;ilosc instancji;1000;czas wykonania;0,0
wartosc max;999,0;ilosc instancji;1000;czas wykonania;0,9975433349609375
wartosc mediana;-28,0;ilosc instancji;1000;czas wykonania;2.9897689819335938
wartosc srednia arytmetyczna;-29,365;ilosc instancji;1000;czas wykonania;1,9946098327636719
wartosc min;-999,0;ilosc instancji;1000;czas wykonania;0,9889602661132812
wartosc max;999,0;ilosc instancji;1000;czas wykonania;0,9970664978027344
wartosc mediana;-28,0;ilosc instancji;1000;czas wykonania;2.9904842376708984
